index,name,description,brand,category,mrp_price,currency,stock,ean,color,availability,internal_id,qty,selling_price,discount,discount_percentage,revenue,stock_value
34,Fast Shaver X One,Concern current war still sit a draw with.,"Cunningham, Barr and Ponce",Cleaning Supplies,894.0,INR,860,631387000000.0,Red,pre_order,92,434,536.4,357.6,40.0,232797.6,461304.0
35,Wireless Webcam Bicycle Camera,Bank international into Republican something important mean.,"Houston, Newton and Terry",Men's Clothing,141.0,INR,704,607700000000.0,SandyBrown,discontinued,72,659,128.31,12.69,9.0,84556.29,90330.24
36,Clean Scale Speaker Powerbank Clean Wireless,Science think fight piece front.,Galvan PLC,"Accessories (Bags, Hats, Belts)",308.0,INR,637,6988840000000.0,PaleGoldenRod,limited_stock,35,65,224.84,83.16,27.0,14614.6,143223.08
37,Advanced Fan Powerbank,White mission budget those pretty fly.,Sims LLC,Headphones & Earbuds,711.0,INR,892,5796760000000.0,IndianRed,out_of_stock,89,562,376.83,334.17,47.0,211778.46,336132.36
38,Pro Thermostat Speaker Touch Eco,Republican vote drug produce.,Brewer-Day,Camping & Hiking,865.0,INR,593,7535100000000.0,LimeGreen,backorder,57,778,596.85,268.15,31.0,464349.3,353932.05
39,Fast Blender Treadmill Tablet One Air,True oil town like.,Stevenson-Cummings,Team Sports,409.0,INR,69,5314300000000.0,Aqua,limited_stock,35,138,314.93,94.07,23.0,43460.34,21730.17
40,Automatic Iron Toaster Projector,Hold dinner everything.,Foley-Thornton,Smartwatches,787.0,INR,805,9338080000000.0,RoyalBlue,out_of_stock,13,64,566.64,220.36,28.0,36264.96,456145.2
41,Smart Scale Stove,Two toward direction memory account cost.,"Pace, Becker and Ibarra",Smartwatches,334.0,INR,38,9990040000000.0,AntiqueWhite,in_stock,10,861,240.48,93.52,28.0,207053.28,9138.24
42,Smart Webcam Mouse Digital,Learn week rate hard.,Fernandez-Hendrix,Toys & Games,830.0,INR,120,8985790000000.0,Snow,out_of_stock,92,336,622.5,207.5,25.0,209160.0,74700.0
43,Compact Drone Lite,There only southern.,Rowe-Robinson,"Accessories (Bags, Hats, Belts)",339.0,INR,220,512595000000.0,SpringGreen,out_of_stock,20,744,250.86,88.14,26.0,186639.84,55189.2
44,Digital Scale Wireless One Portable,Step system consider project point.,"Anthony, Monroe and Myers",Headphones & Earbuds,128.0,INR,727,6358710000000.0,Snow,pre_order,86,549,71.68,56.32,44.0,39352.32,52111.36
45,Clean Drone Thermostat Headphones,Several maintain most position street share room.,Ray-Monroe,Fragrances,716.0,INR,617,2864500000000.0,Teal,discontinued,40,580,579.96,136.04,19.0,336376.8,357835.32
46,Wireless Scooter,Wish their determine character third would among.,Johns-Huber,Women's Clothing,625.0,INR,173,4771210000000.0,DarkOrchid,pre_order,1,532,481.25,143.75,23.0,256025.0,83256.25
47,Clean Light Advanced Smart Premium,Mouth others type as of same piece.,Robbins and Sons,Grooming Tools,485.0,INR,448,3353270000000.0,LightGreen,discontinued,55,849,383.15,101.85,21.0,325294.35,171651.2
48,Compact Fan Iron Clock Digital,Hotel admit pressure democratic television reason remember.,Novak-Hamilton,Home & Kitchen,526.0,INR,944,3674620000000.0,CadetBlue,pre_order,11,984,278.78,247.22,47.0,274319.52,263168.32
49,Ultra Watch Eco,Eye analysis require create community knowledge.,"Le, Sampson and Walsh",Shoes & Footwear,703.0,INR,572,5786160000000.0,LightSalmon,discontinued,17,981,492.1,210.9,30.0,482750.1,281481.2
50,Fast Lamp Scanner Vacuum,There respond common travel as language everything more.,Bautista-Green,Shoes & Footwear,363.0,INR,250,4598210000000.0,GreenYellow,pre_order,60,273,344.85,18.15,5.0,94144.05,86212.5
51,Eco Stove Edge,Hold wrong only language production.,"Gonzales, Best and Ponce",Furniture,52.0,INR,121,1925520000000.0,Plum,limited_stock,86,213,26.52,25.48,49.0,5648.76,3208.92
52,Fast Powerbank Radio Automatic Touch Ultra,Education our science loss call.,Wolfe-Holden,Beauty & Personal Care,685.0,INR,178,1419540000000.0,DarkRed,backorder,76,284,520.6,164.4,24.0,147850.4,92666.8
53,Pro Oven Scale,Mention fish certain allow in environmental source leg.,Mcclure and Sons,Home Decor,150.0,INR,816,5047130000000.0,Blue,backorder,24,180,138.0,12.0,8.0,24840.0,112608.0
54,Smart Printer Charger Brush Smart Ultra Touch,Environmental authority accept.,Powers-Burgess,Grooming Tools,312.0,INR,752,9297740000000.0,MediumOrchid,out_of_stock,65,189,196.56,115.44,37.0,37149.84,147813.12
55,Wireless Watch Premium Air,Little agree game thing type environmental.,Lynch PLC,Fishing & Hunting,673.0,INR,552,5327360000000.0,Fuchsia,out_of_stock,39,796,403.8,269.2,40.0,321424.8,222897.6
56,Advanced Thermostat Microphone Scooter Clean Smart,Miss special Republican team draw middle opportunity.,Meza-Roberson,Kitchen Appliances,425.0,INR,422,673364000000.0,Aqua,out_of_stock,28,974,327.25,97.75,23.0,318741.5,138099.5
57,Pro Mouse Mini Rechargeable,Age possible Republican rest exist interesting source.,"Bernard, Bird and Eaton",Fitness Equipment,478.0,INR,693,3054070000000.0,Teal,out_of_stock,68,460,253.34,224.66,47.0,116536.4,175564.62
58,Silent Powerbank Radio Smart Plus,Listen maybe arrive other outside shake black west.,Lawrence LLC,Health & Wellness,871.0,INR,196,5772720000000.0,PaleGreen,limited_stock,75,508,548.73,322.27,37.0,278754.84,107551.08
59,Clean Speakerphone Edge Rechargeable Max,Yes many nation.,"Zimmerman, Esparza and Andrews",Smartphones,196.0,INR,937,9822540000000.0,MediumSpringGreen,pre_order,77,213,156.8,39.2,20.0,33398.4,146921.6
60,Silent Heater Stove Scanner,Action positive skin Congress pressure begin return.,Chavez-Preston,"Accessories (Bags, Hats, Belts)",747.0,INR,646,1263480000000.0,PaleGoldenRod,discontinued,30,623,478.08,268.92,36.0,297843.84,308839.68
61,Smart Mixer Bicycle Fridge,Dinner soldier name model cup physical.,Williams-Morrison,Men's Clothing,63.0,INR,535,8041790000000.0,LightBlue,discontinued,82,819,48.51,14.49,23.0,39729.69,25952.85
62,Smart Freezer Clean,Bank cover pattern since issue hear particularly bank.,"Costa, Mcneil and Stafford",Office Supplies,361.0,INR,340,5109260000000.0,Orchid,in_stock,23,54,249.09,111.91,31.0,13450.86,84690.6
63,Automatic Blender Toaster Camera,Carry real agree outside major.,Conrad Group,Haircare,329.0,INR,416,5161280000000.0,BlanchedAlmond,limited_stock,66,747,305.97,23.03,7.0,228559.59,127283.52
64,Premium Mouse Lamp Ultra Touch Compact,Someone raise lot let more list.,Page and Sons,Cycling,38.0,INR,29,5153480000000.0,MediumTurquoise,out_of_stock,46,917,34.2,3.8,10.0,31361.4,991.8
65,Ultra Drone Wireless Go Clean,Project impact possible both.,Hurst Inc,Kitchen Appliances,119.0,INR,346,9613970000000.0,RosyBrown,pre_order,84,839,95.2,23.8,20.0,79872.8,32939.2
66,Smart Monitor Cooler Dock Automatic Lite Prime,Skin quite serve kind themselves player so.,"Russell, Vance and Ortiz",Automotive,379.0,INR,787,6890200000000.0,Crimson,pre_order,47,524,356.26,22.74,6.0,186680.24,280376.62
67,Automatic Fridge Freezer,While everybody war simply plan social.,Hogan Ltd,Furniture,918.0,INR,959,7998660000000.0,Tomato,discontinued,1,577,624.24,293.76,32.0,360186.48,598646.16
68,Rechargeable Router Keyboard,Chance start number accept.,Bautista Ltd,Fishing & Hunting,242.0,INR,974,2863750000000.0,LightGoldenRodYellow,discontinued,14,508,166.98,75.02,31.0,84825.84,162638.52
69,Digital Microphone Camera,Life your gas thus event.,"Davila, Bowman and Flynn",Home Decor,71.0,INR,100,3272420000000.0,LightSeaGreen,out_of_stock,3,553,38.34,32.66,46.0,21202.02,3834.0
70,Smart Stove Iron,Think feel office pretty trade room.,"Harding, Frederick and Holloway",Toys & Games,689.0,INR,210,761287000000.0,Blue,out_of_stock,4,322,523.64,165.36,24.0,168612.08,109964.4
71,Ultra Treadmill,West against people general themselves young likely.,Alvarado Ltd,Toys & Games,65.0,INR,250,7977250000000.0,SlateBlue,pre_order,18,231,52.65,12.35,19.0,12162.15,13162.5
72,Mini Shaver Mouse Fast Mini X,Meet think hope per.,Robbins-Duffy,Toys & Games,84.0,INR,703,3570230000000.0,Cornsilk,pre_order,53,970,60.48,23.52,28.0,58665.6,42517.44
73,Wireless Fridge Cooker Portable Edge,Church line feeling down maintain.,Henson-Ware,Clothing & Apparel,712.0,INR,966,6944900000000.0,HoneyDew,discontinued,83,438,676.4,35.6,5.0,296263.2,653402.4
74,Fan Iron Cooker,Process finish right star.,Avery-Meadows,Health & Wellness,795.0,INR,272,5139270000000.0,PowderBlue,pre_order,41,961,715.5,79.5,10.0,687595.5,194616.0
75,Eco Fridge Printer Mouse,He effort though machine standard.,"Jones, Weber and Pitts",Cycling,333.97,INR,204,1631900000000.0,Salmon,limited_stock,73,541,333.97,0.0,0.0,180677.77,68129.88
76,Wireless Scanner Tablet Radio,Plan mention fight focus research set health.,"Valenzuela, Mahoney and Lowery",Clothing & Apparel,475.2,INR,172,4697370000000.0,DeepSkyBlue,in_stock,99,933,475.2,0.0,0.0,443361.6,81734.4
77,Pro Stove Light Air Mini,News design site able before candidate air.,Huffman-Washington,Camping & Hiking,546.56,INR,374,8439220000000.0,DarkRed,out_of_stock,18,805,546.56,0.0,0.0,439980.8,204413.44
78,Shaver,Who someone training consumer Mr eight.,"Torres, Christensen and Edwards",Laptops & Computers,955.0,INR,466,7444900000000.0,MintCream,limited_stock,11,534,477.5,477.5,50.0,254985.0,222515.0
79,Smart Grill Trimmer,Both old letter national remain of.,"Pacheco, Villanueva and Hubbard",Smartwatches,787.0,INR,277,6855620000000.0,GoldenRod,backorder,10,563,582.38,204.62,26.0,327879.94,161319.26
80,Portable Vacuum Printer Go,Say minute type others.,Espinoza-Bowman,Makeup,321.0,INR,766,9824060000000.0,PapayaWhip,in_stock,98,101,269.64,51.36,16.0,27233.64,206544.24
81,Projector,City food wind tax by woman talk.,Haynes LLC,Automotive,556.0,INR,896,7629500000000.0,LightPink,in_stock,81,750,378.08,177.92,32.0,283560.0,338759.68
82,Compact Powerbank Radio,Finish note quickly appear than do.,Espinoza-Bond,Skincare,551.0,INR,573,2986690000000.0,LightSkyBlue,backorder,89,908,391.21,159.79,29.0,355218.68,224163.33
83,Pro Freezer Prime,Within what question instead politics.,Perez Group,Kids' Clothing,713.0,INR,62,4547540000000.0,Indigo,pre_order,57,730,399.28,313.72,44.0,291474.4,24755.36
84,Digital Printer Webcam Wireless Edge Air,Professor fish oil wait enter because.,"Wilkinson, Dawson and Berger",Fragrances,200.0,INR,51,9730310000000.0,LavenderBlush,pre_order,87,815,126.0,74.0,37.0,102690.0,6426.0
85,Trimmer Cooler,Enter plant painting.,Roth-James,Smartphones,862.0,INR,216,2617590000000.0,Chocolate,pre_order,86,952,620.64,241.36,28.0,590849.28,134058.24
86,Portable Projector Portable Air,He ball common attention visit.,Bradley Inc,Bedding & Bath,560.0,INR,637,533351000000.0,YellowGreen,out_of_stock,63,829,420.0,140.0,25.0,348180.0,267540.0
87,Portable Powerbank,Exactly eight entire mean stuff already.,Weeks and Sons,Haircare,766.0,INR,284,9090170000000.0,OliveDrab,pre_order,87,967,635.78,130.22,17.0,614799.26,180561.52
88,Smart Lock Premium,Such accept shoulder medical bill world.,Hebert Group,Headphones & Earbuds,452.0,INR,96,4520820000000.0,MidnightBlue,pre_order,85,267,352.56,99.44,22.0,94133.52,33845.76
89,Automatic Printer Premium,Cause hit candidate.,Park-Huffman,Fitness Equipment,472.0,INR,108,5364370000000.0,MediumSpringGreen,backorder,61,515,420.08,51.92,11.0,216341.2,45368.64
90,Eco Trimmer Touch,Film simply medical parent family first.,Christensen Inc,Skincare,566.0,INR,277,8479740000000.0,OrangeRed,in_stock,39,589,305.64,260.36,46.0,180021.96,84662.28
91,Compact Powerbank Radio Lite Digital Digital,Professional kitchen move hold pay.,Brown-Berg,Beauty & Personal Care,455.0,INR,8,7242290000000.0,LightSeaGreen,in_stock,27,987,364.0,91.0,20.0,359268.0,2912.0
92,Automatic Vacuum Fan,Career my difficult may court policy.,Yates-Blankenship,Sports & Outdoors,264.0,INR,604,9657890000000.0,Salmon,in_stock,17,956,179.52,84.48,32.0,171621.12,108430.08
93,Digital Iron Heater 360 Clean Edge,Cell grow instead top million item might ready.,"Frazier, Mitchell and Maxwell",Kids' Clothing,65.0,INR,683,4795370000000.0,Maroon,discontinued,60,251,61.75,3.25,5.0,15499.25,42175.25
94,Silent Scanner Mouse Digital Edge,Key reality hair identify third situation blue dream.,Hale Inc,Grooming Tools,711.0,INR,178,3621600000000.0,RosyBrown,in_stock,15,811,504.81,206.19,29.0,409400.91,89856.18
95,Silent Freezer Projector Webcam,Say benefit civil woman work national involve north.,Serrano PLC,Toys & Games,717.0,INR,962,8309550000000.0,Orchid,pre_order,98,877,466.05,250.95,35.0,408725.85,448340.1
96,Clean Monitor Light Plus,Whom medical five face ok believe.,Ortiz LLC,Smartwatches,668.0,INR,46,7586500000000.0,SlateGray,backorder,84,692,627.92,40.08,6.0,434520.64,28884.32
97,Rechargeable Freezer Powerbank Watch Wireless Rechargeable Prime,Significant six whole different.,Casey Ltd,Furniture,411.0,INR,373,917442000000.0,IndianRed,backorder,55,133,386.34,24.66,6.0,51383.22,144104.82
98,Rechargeable Mixer Drone Fan Sense Wireless,Instead age difference you.,"Mcknight, Parsons and Haley",Laptops & Computers,784.0,INR,901,8807430000000.0,Cornsilk,discontinued,82,409,517.44,266.56,34.0,211632.96,466213.44
99,Wireless Brush,Do week wall control structure.,"Pennington, York and Roberson",Cameras & Accessories,330.0,INR,154,1245610000000.0,Linen,out_of_stock,72,603,207.9,122.1,37.0,125363.7,32016.6
100,Pro Trimmer Cooler,Foreign by spring decide arm light stay structure.,Stein and Sons,Fishing & Hunting,43.0,INR,788,3636310000000.0,Maroon,limited_stock,5,314,21.93,21.07,49.0,6886.02,17280.84
101,Wireless Heater Compact,Throw anyone rock clearly mind ever relationship.,Maddox-Day,Home Decor,414.0,INR,288,1900150000000.0,Plum,backorder,65,159,331.2,82.8,20.0,52660.8,95385.6
102,Fast Grill Grill,Result other task end follow early.,Greer LLC,Headphones & Earbuds,759.0,INR,911,1554770000000.0,GreenYellow,pre_order,2,211,713.46,45.54,6.0,150540.06,649962.06
103,Premium Printer Fan Pro Compact,Key peace spring medical evening theory.,Simon Inc,Clothing & Apparel,363.0,INR,246,8155610000000.0,GreenYellow,out_of_stock,69,494,188.76,174.24,48.0,93247.44,46434.96
104,Light,Real alone situation talk.,"Flynn, Morse and Horn",Cleaning Supplies,733.0,INR,46,6426530000000.0,IndianRed,out_of_stock,97,216,615.72,117.28,16.0,132995.52,28323.12
105,Automatic Clock Lock 360 Premium,Return drug my drive.,"Marks, Morrison and Morrow",Home Decor,503.0,INR,257,8981590000000.0,GhostWhite,limited_stock,61,835,331.6,171.4,34.08,276886.0,85221.2
106,Wireless Powerbank Iron Brush Pro Clean,Low answer his newspaper decision.,Barron and Sons,Clothing & Apparel,504.0,INR,462,7705330000000.0,Teal,discontinued,78,777,338.41,165.59,32.86,262944.57,156345.42
107,Mixer Toaster Toaster,Left drug partner explain various economy.,"Farrell, Gamble and Dodson",Fragrances,704.0,INR,400,2571970000000.0,MediumVioletRed,out_of_stock,81,872,354.06,349.94,49.71,308740.32,141624.0
108,Wireless Oven Trimmer,Inside space thus sea.,"Cox, Nguyen and Valencia",Toys & Games,863.0,INR,909,9816900000000.0,SteelBlue,limited_stock,90,167,364.29,498.71,57.79,60837.26,331144.15
109,Fast Headphones Stove Rechargeable Clean,Truth prove him information.,Mendez PLC,Cameras & Accessories,799.0,INR,123,5985870000000.0,HoneyDew,backorder,54,312,607.24,191.76,24.0,189458.88,74690.52
110,Compact Heater Stove Scanner Rechargeable Silent Compact,Finish improve above wide down issue.,Jarvis-Bean,Bedding & Bath,12.0,INR,794,8619760000000.0,MediumSeaGreen,backorder,56,244,10.56,1.44,12.0,2576.64,8384.64
111,Compact Watch Microphone Microphone,Space nor stage response charge.,Neal Inc,Laptops & Computers,379.0,INR,360,619438000000.0,MediumSeaGreen,in_stock,53,697,344.89,34.11,9.0,240388.33,124160.4
112,Rechargeable Lamp X,Game either bar personal.,Fry Ltd,Men's Clothing,475.0,INR,386,1406640000000.0,Brown,out_of_stock,40,577,384.75,90.25,19.0,222000.75,148513.5
113,Pro Cooler Vacuum Go Ultra,Instead begin conference tax simply.,Hobbs-Mcclain,Toys & Games,70.0,INR,48,5676050000000.0,LawnGreen,in_stock,12,909,44.8,25.2,36.0,40723.2,2150.4
114,Fridge Camera,Mother conference interview upon.,"Melton, Potter and Flores",Laptops & Computers,61.0,INR,860,1985810000000.0,DarkSlateBlue,limited_stock,48,337,32.94,28.06,46.0,11100.78,28328.4
115,Smart Microphone Headphones Sense,Feeling professional support land.,Lawson PLC,Furniture,802.0,INR,170,8638300000000.0,Sienna,limited_stock,7,821,553.38,248.62,31.0,454324.98,94074.6
116,Light Toaster,Bar method often admit least.,Stephenson-Pacheco,Men's Clothing,940.0,INR,40,6922520000000.0,HotPink,pre_order,90,487,620.4,319.6,34.0,302134.8,24816.0
117,Dock Router Webcam,Upon early remember create develop thousand must.,Butler-Mayer,Team Sports,254.0,INR,424,8769140000000.0,ForestGreen,discontinued,50,198,139.7,114.3,45.0,27660.6,59232.8
118,Wireless Projector Freezer,Hit single reach environmental major apply.,Gibson Inc,Team Sports,848.0,INR,833,2307560000000.0,LawnGreen,pre_order,51,686,703.84,144.16,17.0,482834.24,586298.72
119,Smart Watch Headphones Kettle,Toward energy traditional feel goal whether person.,"Morton, Newman and Vega",Smartphones,519.0,INR,853,6841570000000.0,Navy,backorder,96,736,378.87,140.13,27.0,278848.32,323176.11
120,Silent Radio Prime Portable Automatic,Country security south happy chair those over.,Everett Group,Kids' Clothing,357.0,INR,734,502359000000.0,FireBrick,limited_stock,47,707,221.34,135.66,38.0,156487.38,162463.56
121,Compact Projector Brush Clean,Bed sea trip support break.,Durham PLC,Fishing & Hunting,29.0,INR,779,5188500000000.0,Turquoise,backorder,35,228,16.24,12.76,44.0,3702.72,12650.96
122,Smart Freezer,Behind thank more worry the check others.,Jones-Lawrence,Cameras & Accessories,470.0,INR,837,4404600000000.0,PeachPuff,limited_stock,67,499,427.7,42.3,9.0,213422.3,357984.9
123,Ultra Lamp Freezer Lite Ultra Rechargeable,Their film feel choice important old magazine.,"Gomez, Parker and Wheeler",Office Supplies,924.0,INR,216,8563670000000.0,OliveDrab,in_stock,51,979,619.08,304.92,33.0,606079.32,133721.28
124,Pro Lamp Freezer Sense Edge,Live opportunity customer PM.,"Saunders, Farley and Bradley","Accessories (Bags, Hats, Belts)",691.0,INR,115,5237660000000.0,OliveDrab,out_of_stock,40,169,587.35,103.65,15.0,99262.15,67545.25
125,Wireless Powerbank Plus,Actually measure read place open college.,Rosario-Velez,Men's Clothing,577.0,INR,845,6900000000000.0,MidnightBlue,out_of_stock,67,840,403.9,173.1,30.0,339276.0,341295.5
126,Digital Vacuum Rechargeable X Wireless,Cost with close media those safe leave unit.,Peters and Sons,Office Supplies,797.0,INR,328,7939270000000.0,DarkTurquoise,pre_order,89,129,621.66,175.34,22.0,80194.14,203904.48
127,Stove Iron,She system office theory happy more.,Abbott-Mccall,Shoes & Footwear,146.0,INR,522,9960110000000.0,DarkSlateGray,limited_stock,93,384,94.9,51.1,35.0,36441.6,49537.8
128,Mini Fan Max Wireless Wireless,Once woman charge station.,"Walker, Pittman and Wood",Fitness Equipment,918.0,INR,900,2270520000000.0,Blue,in_stock,83,901,459.0,459.0,50.0,413559.0,413100.0
129,Automatic Heater Cooker Edge,Rate girl beyond.,Waller Ltd,Home Decor,136.0,INR,430,9178030000000.0,LightSteelBlue,backorder,60,876,97.92,38.08,28.0,85777.92,42105.6
130,Thermostat Oven,Again itself food hotel story.,"Golden, Booker and Green",Automotive,520.0,INR,536,5016610000000.0,SaddleBrown,discontinued,20,598,478.4,41.6,8.0,286083.2,256422.4
131,Dock,Already road prepare discuss senior learn.,"Norman, Dalton and Wolf",Women's Clothing,207.0,INR,285,3032790000000.0,Salmon,backorder,87,209,186.3,20.7,10.0,38936.7,53095.5
132,Compact Heater Go Plus Smart,Realize bit you ball wall go successful.,"Richardson, Knox and Parsons",Makeup,307.0,INR,702,5786140000000.0,LightGray,pre_order,86,326,214.9,92.1,30.0,70057.4,150859.8
133,Eco Thermostat Oven Eco Go Edge,Mother agent similar out pass.,Hutchinson Ltd,Skincare,801.0,INR,176,1164890000000.0,AntiqueWhite,limited_stock,94,990,736.92,64.08,8.0,729550.8,129697.92
134,Advanced Projector Oven Thermostat Premium,Happen light difficult hit soldier time.,"Mcmillan, Benton and Schneider",Fitness Equipment,220.0,INR,165,8310850000000.0,LightSlateGray,in_stock,75,405,162.8,57.2,26.0,65934.0,26862.0
