Index,Name,Description,Brand,Category,MRP_Price,Currency,Stock,EAN,Color,Availability,Internal ID,Qty,Selling_price
35,Wireless Webcam Bicycle Camera,Bank international into Republican something important mean.,"Houston, Newton and Terry",Men's Clothing,141,INR,704,6.077E+11,SandyBrown,discontinued,72,659,128.31
36,Clean Scale Speaker Powerbank Clean Wireless,Science think fight piece front.,Galvan PLC,"Accessories (Bags, Hats, Belts)",308,INR,637,6.98884E+12,PaleGoldenRod,limited_stock,35,65,224.84
37,Advanced Fan Powerbank,White mission budget those pretty fly.,Sims LLC,Headphones & Earbuds,711,INR,892,5.79676E+12,IndianRed,out_of_stock,89,562,376.83
38,Pro Thermostat Speaker Touch Eco,Republican vote drug produce.,Brewer-Day,Camping & Hiking,865,INR,593,7.5351E+12,LimeGreen,backorder,57,778,596.85
39,Fast Blender Treadmill Tablet One Air,True oil town like.,Stevenson-Cummings,Team Sports,409,INR,69,5.3143E+12,Aqua,limited_stock,35,138,314.93
40,Automatic Iron Toaster Projector,Hold dinner everything.,Foley-Thornton,Smartwatches,787,INR,805,9.33808E+12,RoyalBlue,out_of_stock,13,64,566.64
41,Smart Scale Stove,Two toward direction memory account cost.,"Pace, Becker and Ibarra",Smartwatches,334,INR,38,9.99004E+12,AntiqueWhite,in_stock,10,861,240.48
42,Smart Webcam Mouse Digital,Learn week rate hard.,Fernandez-Hendrix,Toys & Games,830,INR,120,8.98579E+12,Snow,out_of_stock,92,336,622.5
43,Compact Drone Lite,There only southern.,Rowe-Robinson,"Accessories (Bags, Hats, Belts)",339,INR,220,5.12595E+11,SpringGreen,out_of_stock,20,744,250.86
44,Digital Scale Wireless One Portable,Step system consider project point.,"Anthony, Monroe and Myers",Headphones & Earbuds,128,INR,727,6.35871E+12,Snow,pre_order,86,549,71.68
45,Clean Drone Thermostat Headphones,Several maintain most position street share room.,Ray-Monroe,Fragrances,716,INR,617,2.8645E+12,Teal,discontinued,40,580,579.96
46,Wireless Scooter,Wish their determine character third would among.,Johns-Huber,Women's Clothing,625,INR,173,4.77121E+12,DarkOrchid,pre_order,1,532,481.25
47,Clean Light Advanced Smart Premium,Mouth others type as of same piece.,Robbins and Sons,Grooming Tools,485,INR,448,3.35327E+12,LightGreen,discontinued,55,849,383.15
48,Compact Fan Iron Clock Digital,Hotel admit pressure democratic television reason remember.,Novak-Hamilton,Home & Kitchen,526,INR,944,3.67462E+12,CadetBlue,pre_order,11,984,278.78
49,Ultra Watch Eco,Eye analysis require create community knowledge.,"Le, Sampson and Walsh",Shoes & Footwear,703,INR,572,5.78616E+12,LightSalmon,discontinued,17,981,492.1
50,Fast Lamp Scanner Vacuum,There respond common travel as language everything more.,Bautista-Green,Shoes & Footwear,363,INR,250,4.59821E+12,GreenYellow,pre_order,60,273,344.85
51,Eco Stove Edge,Hold wrong only language production.,"Gonzales, Best and Ponce",Furniture,52,INR,121,1.92552E+12,Plum,limited_stock,86,213,26.52
52,Fast Powerbank Radio Automatic Touch Ultra,Education our science loss call.,Wolfe-Holden,Beauty & Personal Care,685,INR,178,1.41954E+12,DarkRed,backorder,76,284,520.6
53,Pro Oven Scale,Mention fish certain allow in environmental source leg.,Mcclure and Sons,Home Decor,150,INR,816,5.04713E+12,Blue,backorder,24,180,138
54,Smart Printer Charger Brush Smart Ultra Touch,Environmental authority accept.,Powers-Burgess,Grooming Tools,312,INR,752,9.29774E+12,MediumOrchid,out_of_stock,65,189,196.56
55,Wireless Watch Premium Air,Little agree game thing type environmental.,Lynch PLC,Fishing & Hunting,673,INR,552,5.32736E+12,Fuchsia,out_of_stock,39,796,403.8
56,Advanced Thermostat Microphone Scooter Clean Smart,Miss special Republican team draw middle opportunity.,Meza-Roberson,Kitchen Appliances,425,INR,422,6.73364E+11,Aqua,out_of_stock,28,974,327.25
57,Pro Mouse Mini Rechargeable,Age possible Republican rest exist interesting source.,"Bernard, Bird and Eaton",Fitness Equipment,478,INR,693,3.05407E+12,Teal,out_of_stock,68,460,253.34
58,Silent Powerbank Radio Smart Plus,Listen maybe arrive other outside shake black west.,Lawrence LLC,Health & Wellness,871,INR,196,5.77272E+12,PaleGreen,limited_stock,75,508,548.73
59,Clean Speakerphone Edge Rechargeable Max,Yes many nation.,"Zimmerman, Esparza and Andrews",Smartphones,196,INR,937,9.82254E+12,MediumSpringGreen,pre_order,77,213,156.8
60,Silent Heater Stove Scanner,Action positive skin Congress pressure begin return.,Chavez-Preston,"Accessories (Bags, Hats, Belts)",747,INR,646,1.26348E+12,PaleGoldenRod,discontinued,30,623,478.08
61,Smart Mixer Bicycle Fridge,Dinner soldier name model cup physical.,Williams-Morrison,Men's Clothing,63,INR,535,8.04179E+12,LightBlue,discontinued,82,819,48.51
62,Smart Freezer Clean,Bank cover pattern since issue hear particularly bank.,"Costa, Mcneil and Stafford",Office Supplies,361,INR,340,5.10926E+12,Orchid,in_stock,23,54,249.09
63,Automatic Blender Toaster Camera,Carry real agree outside major.,Conrad Group,Haircare,329,INR,416,5.16128E+12,BlanchedAlmond,limited_stock,66,747,305.97
64,Premium Mouse Lamp Ultra Touch Compact,Someone raise lot let more list.,Page and Sons,Cycling,38,INR,29,5.15348E+12,MediumTurquoise,out_of_stock,46,917,34.2
65,Ultra Drone Wireless Go Clean,Project impact possible both.,Hurst Inc,Kitchen Appliances,119,INR,346,9.61397E+12,RosyBrown,pre_order,84,839,95.2
66,Smart Monitor Cooler Dock Automatic Lite Prime,Skin quite serve kind themselves player so.,"Russell, Vance and Ortiz",Automotive,379,INR,787,6.8902E+12,Crimson,pre_order,47,,356.26
67,Automatic Fridge Freezer,While everybody war simply plan social.,Hogan Ltd,Furniture,918,INR,959,7.99866E+12,Tomato,discontinued,1,,624.24
68,Rechargeable Router Keyboard,Chance start number accept.,Bautista Ltd,Fishing & Hunting,242,INR,974,2.86375E+12,LightGoldenRodYellow,discontinued,14,,166.98
69,Digital Microphone Camera,Life your gas thus event.,"Davila, Bowman and Flynn",Home Decor,71,INR,100,3.27242E+12,LightSeaGreen,out_of_stock,3,,38.34
70,Smart Stove Iron,Think feel office pretty trade room.,"Harding, Frederick and Holloway",Toys & Games,689,INR,210,7.61287E+11,Blue,out_of_stock,4,322,523.64
71,Ultra Treadmill,West against people general themselves young likely.,Alvarado Ltd,Toys & Games,65,INR,250,7.97725E+12,SlateBlue,pre_order,18,231,52.65
72,Mini Shaver Mouse Fast Mini X,Meet think hope per.,Robbins-Duffy,Toys & Games,84,INR,703,3.57023E+12,Cornsilk,pre_order,53,970,60.48
73,Wireless Fridge Cooker Portable Edge,Church line feeling down maintain.,Henson-Ware,Clothing & Apparel,712,INR,966,6.9449E+12,HoneyDew,discontinued,83,438,676.4
74,Fan Iron Cooker,Process finish right star.,Avery-Meadows,Health & Wellness,795,INR,272,5.13927E+12,PowderBlue,pre_order,41,961,715.5
75,Eco Fridge Printer Mouse,He effort though machine standard.,"Jones, Weber and Pitts",Cycling,,INR,204,1.6319E+12,Salmon,limited_stock,73,541,333.97
76,Wireless Scanner Tablet Radio,Plan mention fight focus research set health.,"Valenzuela, Mahoney and Lowery",Clothing & Apparel,,INR,172,4.69737E+12,DeepSkyBlue,in_stock,99,933,475.2
77,Pro Stove Light Air Mini,News design site able before candidate air.,Huffman-Washington,Camping & Hiking,,INR,374,8.43922E+12,DarkRed,out_of_stock,18,805,546.56
78,Shaver,Who someone training consumer Mr eight.,"Torres, Christensen and Edwards",Laptops & Computers,955,INR,466,7.4449E+12,MintCream,limited_stock,11,534,477.5
79,Smart Grill Trimmer,Both old letter national remain of.,"Pacheco, Villanueva and Hubbard",Smartwatches,787,INR,277,6.85562E+12,GoldenRod,backorder,10,563,582.38
80,Portable Vacuum Printer Go,Say minute type others.,Espinoza-Bowman,Makeup,321,INR,766,9.82406E+12,PapayaWhip,in_stock,98,101,269.64
81,Projector,City food wind tax by woman talk.,Haynes LLC,Automotive,556,INR,896,7.6295E+12,LightPink,in_stock,81,750,378.08
82,Compact Powerbank Radio,Finish note quickly appear than do.,Espinoza-Bond,Skincare,551,INR,573,2.98669E+12,LightSkyBlue,backorder,89,908,391.21
83,Pro Freezer Prime,Within what question instead politics.,Perez Group,Kids' Clothing,713,INR,62,4.54754E+12,Indigo,pre_order,57,730,399.28
84,Digital Printer Webcam Wireless Edge Air,Professor fish oil wait enter because.,"Wilkinson, Dawson and Berger",Fragrances,200,INR,51,9.73031E+12,LavenderBlush,pre_order,87,815,126
85,Trimmer Cooler,Enter plant painting.,Roth-James,Smartphones,862,INR,216,2.61759E+12,Chocolate,pre_order,86,952,620.64
86,Portable Projector Portable Air,He ball common attention visit.,Bradley Inc,Bedding & Bath,560,INR,637,5.33351E+11,YellowGreen,out_of_stock,63,829,420
87,Portable Powerbank,Exactly eight entire mean stuff already.,Weeks and Sons,Haircare,766,INR,284,9.09017E+12,OliveDrab,pre_order,87,967,635.78
88,Smart Lock Premium,Such accept shoulder medical bill world.,Hebert Group,Headphones & Earbuds,452,INR,96,4.52082E+12,MidnightBlue,pre_order,85,267,352.56
89,Automatic Printer Premium,Cause hit candidate.,Park-Huffman,Fitness Equipment,472,INR,108,5.36437E+12,MediumSpringGreen,backorder,61,515,420.08
90,Eco Trimmer Touch,Film simply medical parent family first.,Christensen Inc,Skincare,566,INR,277,8.47974E+12,OrangeRed,in_stock,39,589,305.64
91,Compact Powerbank Radio Lite Digital Digital,Professional kitchen move hold pay.,Brown-Berg,Beauty & Personal Care,455,INR,8,7.24229E+12,LightSeaGreen,in_stock,27,987,364
92,Automatic Vacuum Fan,Career my difficult may court policy.,Yates-Blankenship,Sports & Outdoors,264,INR,604,9.65789E+12,Salmon,in_stock,17,956,179.52
93,Digital Iron Heater 360 Clean Edge,Cell grow instead top million item might ready.,"Frazier, Mitchell and Maxwell",Kids' Clothing,65,INR,683,4.79537E+12,Maroon,discontinued,60,251,61.75
94,Silent Scanner Mouse Digital Edge,Key reality hair identify third situation blue dream.,Hale Inc,Grooming Tools,711,INR,178,3.6216E+12,RosyBrown,in_stock,15,811,504.81
95,Silent Freezer Projector Webcam,Say benefit civil woman work national involve north.,Serrano PLC,Toys & Games,717,INR,962,8.30955E+12,Orchid,pre_order,98,877,466.05
96,Clean Monitor Light Plus,Whom medical five face ok believe.,Ortiz LLC,Smartwatches,668,INR,46,7.5865E+12,SlateGray,backorder,84,692,627.92
97,Rechargeable Freezer Powerbank Watch Wireless Rechargeable Prime,Significant six whole different.,Casey Ltd,Furniture,411,INR,373,9.17442E+11,IndianRed,backorder,55,133,386.34
98,Rechargeable Mixer Drone Fan Sense Wireless,Instead age difference you.,"Mcknight, Parsons and Haley",Laptops & Computers,784,INR,901,8.80743E+12,Cornsilk,discontinued,82,409,517.44
99,Wireless Brush,Do week wall control structure.,"Pennington, York and Roberson",Cameras & Accessories,330,INR,154,1.24561E+12,Linen,out_of_stock,72,603,207.9
100,Pro Trimmer Cooler,Foreign by spring decide arm light stay structure.,Stein and Sons,Fishing & Hunting,43,INR,788,3.63631E+12,Maroon,limited_stock,5,314,21.93
101,Wireless Heater Compact,Throw anyone rock clearly mind ever relationship.,Maddox-Day,Home Decor,414,INR,288,1.90015E+12,Plum,backorder,65,159,331.2
102,Fast Grill Grill,Result other task end follow early.,Greer LLC,Headphones & Earbuds,759,INR,911,1.55477E+12,GreenYellow,pre_order,2,211,713.46
103,Premium Printer Fan Pro Compact,Key peace spring medical evening theory.,Simon Inc,Clothing & Apparel,363,INR,246,8.15561E+12,GreenYellow,out_of_stock,69,494,188.76
104,Light,Real alone situation talk.,"Flynn, Morse and Horn",Cleaning Supplies,733,INR,46,6.42653E+12,IndianRed,out_of_stock,97,216,615.72
105,Automatic Clock Lock 360 Premium,Return drug my drive.,"Marks, Morrison and Morrow",Home Decor,503,INR,257,8.98159E+12,GhostWhite,limited_stock,61,835,
106,Wireless Powerbank Iron Brush Pro Clean,Low answer his newspaper decision.,Barron and Sons,Clothing & Apparel,504,INR,462,7.70533E+12,Teal,discontinued,78,777,
107,Mixer Toaster Toaster,Left drug partner explain various economy.,"Farrell, Gamble and Dodson",Fragrances,704,INR,400,2.57197E+12,MediumVioletRed,out_of_stock,81,872,
108,Wireless Oven Trimmer,Inside space thus sea.,"Cox, Nguyen and Valencia",Toys & Games,863,INR,909,9.8169E+12,SteelBlue,limited_stock,90,167,
109,Fast Headphones Stove Rechargeable Clean,Truth prove him information.,Mendez PLC,Cameras & Accessories,799,INR,123,5.98587E+12,HoneyDew,backorder,54,312,607.24
110,Compact Heater Stove Scanner Rechargeable Silent Compact,Finish improve above wide down issue.,Jarvis-Bean,Bedding & Bath,12,INR,794,8.61976E+12,MediumSeaGreen,backorder,56,244,10.56
111,Compact Watch Microphone Microphone,Space nor stage response charge.,Neal Inc,Laptops & Computers,379,INR,360,6.19438E+11,MediumSeaGreen,in_stock,53,697,344.89
112,Rechargeable Lamp X,Game either bar personal.,Fry Ltd,Men's Clothing,475,INR,386,1.40664E+12,Brown,out_of_stock,40,577,384.75
113,Pro Cooler Vacuum Go Ultra,Instead begin conference tax simply.,Hobbs-Mcclain,Toys & Games,70,INR,48,5.67605E+12,LawnGreen,in_stock,12,909,44.8
114,Fridge Camera,Mother conference interview upon.,"Melton, Potter and Flores",Laptops & Computers,61,INR,860,1.98581E+12,DarkSlateBlue,limited_stock,48,337,32.94
115,Smart Microphone Headphones Sense,Feeling professional support land.,Lawson PLC,Furniture,802,INR,170,8.6383E+12,Sienna,limited_stock,7,821,553.38
116,Light Toaster,Bar method often admit least.,Stephenson-Pacheco,Men's Clothing,940,INR,40,6.92252E+12,HotPink,pre_order,90,487,620.4
117,Dock Router Webcam,Upon early remember create develop thousand must.,Butler-Mayer,Team Sports,254,INR,424,8.76914E+12,ForestGreen,discontinued,50,198,139.7
118,Wireless Projector Freezer,Hit single reach environmental major apply.,Gibson Inc,Team Sports,848,INR,833,2.30756E+12,LawnGreen,pre_order,51,686,703.84
119,Smart Watch Headphones Kettle,Toward energy traditional feel goal whether person.,"Morton, Newman and Vega",Smartphones,519,INR,853,6.84157E+12,Navy,backorder,96,736,378.87
120,Silent Radio Prime Portable Automatic,Country security south happy chair those over.,Everett Group,Kids' Clothing,357,INR,734,5.02359E+11,FireBrick,limited_stock,47,707,221.34
121,Compact Projector Brush Clean,Bed sea trip support break.,Durham PLC,Fishing & Hunting,29,INR,779,5.1885E+12,Turquoise,backorder,35,228,16.24
122,Smart Freezer,Behind thank more worry the check others.,Jones-Lawrence,Cameras & Accessories,470,INR,837,4.4046E+12,PeachPuff,limited_stock,67,499,427.7
123,Ultra Lamp Freezer Lite Ultra Rechargeable,Their film feel choice important old magazine.,"Gomez, Parker and Wheeler",Office Supplies,924,INR,216,8.56367E+12,OliveDrab,in_stock,51,979,619.08
124,Pro Lamp Freezer Sense Edge,Live opportunity customer PM.,"Saunders, Farley and Bradley","Accessories (Bags, Hats, Belts)",691,INR,115,5.23766E+12,OliveDrab,out_of_stock,40,169,587.35
125,Wireless Powerbank Plus,Actually measure read place open college.,Rosario-Velez,Men's Clothing,577,INR,845,6.9E+12,MidnightBlue,out_of_stock,67,840,403.9
126,Digital Vacuum Rechargeable X Wireless,Cost with close media those safe leave unit.,Peters and Sons,Office Supplies,797,INR,328,7.93927E+12,DarkTurquoise,pre_order,89,129,621.66
127,Stove Iron,She system office theory happy more.,Abbott-Mccall,Shoes & Footwear,146,INR,522,9.96011E+12,DarkSlateGray,limited_stock,93,384,94.9
128,Mini Fan Max Wireless Wireless,Once woman charge station.,"Walker, Pittman and Wood",Fitness Equipment,918,INR,900,2.27052E+12,Blue,in_stock,83,901,459
129,Automatic Heater Cooker Edge,Rate girl beyond.,Waller Ltd,Home Decor,136,INR,430,9.17803E+12,LightSteelBlue,backorder,60,876,97.92
130,Thermostat Oven,Again itself food hotel story.,"Golden, Booker and Green",Automotive,520,INR,536,5.01661E+12,SaddleBrown,discontinued,20,598,478.4
131,Dock,Already road prepare discuss senior learn.,"Norman, Dalton and Wolf",Women's Clothing,207,INR,285,3.03279E+12,Salmon,backorder,87,209,186.3
132,Compact Heater Go Plus Smart,Realize bit you ball wall go successful.,"Richardson, Knox and Parsons",Makeup,307,INR,702,5.78614E+12,LightGray,pre_order,86,326,214.9
133,Eco Thermostat Oven Eco Go Edge,Mother agent similar out pass.,Hutchinson Ltd,Skincare,801,INR,176,1.16489E+12,AntiqueWhite,limited_stock,94,990,736.92
134,Advanced Projector Oven Thermostat Premium,Happen light difficult hit soldier time.,"Mcmillan, Benton and Schneider",Fitness Equipment,220,INR,165,8.31085E+12,LightSlateGray,in_stock,75,405,162.8
135,Ultra Grill Grill Scale Rechargeable,Area spend ground inside key say open.,"Gilmore, Frey and Barron",Smartwatches,628,INR,521,3.30572E+11,BlueViolet,discontinued,79,810,357.96
136,Premium Camera Fast Ultra Go,Defense start speak visit perform play.,Carpenter Group,Smartphones,362,INR,918,8.62561E+12,Bisque,pre_order,9,932,188.24
137,Wireless Watch Go Max Prime,Respond whose responsibility huge try.,Brady-Meyers,Sports & Outdoors,864,INR,826,1.82975E+12,LimeGreen,discontinued,87,901,509.76
138,Smart Heater Clean Edge,Court say stuff.,"Sanford, Pennington and Lang",Cameras & Accessories,272,INR,693,7.97438E+12,GhostWhite,limited_stock,14,402,190.4
139,Bicycle Scooter,Reality read effort material quite.,Barrera-Phelps,Bedding & Bath,672,INR,941,9.18609E+12,DarkSalmon,backorder,2,829,571.2
140,Rechargeable Treadmill Dock,Nothing behind suggest whole college answer.,"Wu, Mcclure and Peters",Books & Stationery,446,INR,341,8.65712E+12,DarkOrchid,limited_stock,29,411,258.68
141,Advanced Cooker,Could response her.,Mcdaniel-Shelton,Fragrances,899,INR,213,6.66711E+12,DarkOrchid,discontinued,57,882,467.48
142,Smart Trimmer Clock Automatic Rechargeable,Respond call moment term.,Weiss LLC,Furniture,376,INR,704,6.71013E+12,LightGoldenRodYellow,backorder,8,476,259.44
143,Kettle,Table huge most administration.,"Finley, Frey and Adkins",Clothing & Apparel,481,INR,842,1.13459E+11,LightGray,limited_stock,95,136,303.03
144,Projector Oven Thermostat,Onto but war while.,Benton Inc,Beauty & Personal Care,990,INR,812,7.47141E+12,ForestGreen,backorder,72,930,712.8
145,Silent Watch Mini Advanced,Break entire hundred opportunity ever usually.,"Blevins, Meadows and Porter",Haircare,546,INR,411,7.69344E+11,PapayaWhip,backorder,51,339,387.66
146,Digital Radio Radio Air Lite,Mean main somebody staff first top.,Pham-Robinson,Skincare,39,INR,715,7.42007E+11,DarkSlateGray,discontinued,6,474,32.37
147,Premium Fan Premium,Point strong wait.,"Archer, Bryant and Parker",Makeup,832,INR,154,9.84628E+12,DarkTurquoise,backorder,97,806,665.6
148,Vacuum,Cold your shake send.,Lawson Group,Kids' Clothing,931,INR,980,2.44464E+12,Chocolate,discontinued,29,97,493.43
149,Portable Camera Vacuum Automatic Sense,Event win executive still science.,Norton LLC,Home Decor,337,INR,82,4.99179E+12,LightYellow,limited_stock,68,135,198.83
150,Advanced Iron Cooler Iron Pro,Total health sometimes campaign standard.,Randolph-Richardson,Cycling,26,INR,500,8.0209E+12,CornflowerBlue,pre_order,40,344,18.98
151,Fast Tablet Blender,Participant bank last success Republican once add effort.,Dixon-Pearson,Toys & Games,192,INR,558,1.45361E+12,DarkGray,pre_order,20,602,117.12
152,Eco Scale Speaker Powerbank 360,Treat ten country four thank whatever maintain training.,"Anderson, Barker and Blevins",Headphones & Earbuds,655,INR,760,8.74578E+12,DimGray,discontinued,66,956,510.9
153,Silent Brush Scanner Automatic Max Sense,Early indeed world base compare owner parent.,Molina Group,Clothing & Apparel,619,INR,379,5.54163E+12,Crimson,discontinued,64,113,383.78
154,Wireless Trimmer Stove Fast,Husband technology against clear.,Drake-Stanley,Health & Wellness,400,INR,460,2.89184E+12,MediumSlateBlue,pre_order,43,173,240
155,Silent Treadmill 360 Wireless One,Financial we successful to risk realize three.,"Simon, Andrade and Riggs",Home & Kitchen,797,INR,162,8.94767E+12,Wheat,out_of_stock,94,606,414.44
156,Smart Freezer Lite,Movement job moment none.,West LLC,Smartwatches,649,INR,430,3.72705E+12,Blue,pre_order,46,678,610.06
157,Compact Keyboard Speaker Portable Silent,Increase you policy early.,Hernandez-Castro,Cleaning Supplies,283,INR,122,4.2319E+12,SeaShell,pre_order,11,64,240.55
158,Pro Scale Toaster 360 Lite,Brother interview now cause operation seek feel.,Villanueva-Steele,Women's Clothing,426,INR,343,6.93017E+12,GoldenRod,backorder,30,780,281.16
159,Smart Powerbank Router Silent,Perhaps their much between company else.,Molina Group,Smartphones,735,INR,39,3.72755E+12,ForestGreen,pre_order,26,425,646.8
160,Compact Lock Thermostat Silent Prime Automatic,Best common significant factor.,Potter LLC,Fitness Equipment,36,INR,388,1.36126E+12,DimGray,out_of_stock,83,583,24.12
161,Ultra Clock Lock One One,International bag alone still size above.,Hobbs-Key,Health & Wellness,709,INR,49,1.25367E+12,GhostWhite,limited_stock,35,79,531.75
162,Smart Mixer Grill Automatic Air,Why stand executive clearly go.,Cruz-Sanford,"Accessories (Bags, Hats, Belts)",145,INR,831,6.91315E+12,CornflowerBlue,pre_order,90,469,104.4
163,Smart Fan Powerbank 360 Advanced,Allow plant within how.,Robertson-Brown,Books & Stationery,903,INR,857,7.27723E+12,HoneyDew,in_stock,81,931,568.89
164,Eco Iron Thermostat 360,Assume cover control stage such agency.,Huffman PLC,Women's Clothing,822,INR,853,4.54381E+12,ForestGreen,discontinued,15,235,419.22
165,Ultra Cooker,Employee religious top increase upon discussion son method.,Villegas-Stephenson,Fishing & Hunting,946,INR,838,1.47517E+12,Snow,discontinued,48,561,851.4
166,Thermostat Speaker,Relate score style perhaps its.,"Patton, Merritt and Baker",Toys & Games,745,INR,958,8.7593E+12,LemonChiffon,backorder,17,903,521.5
167,Eco Tablet Microphone Trimmer,Watch our painting measure central present husband once.,Arnold-Melton,Headphones & Earbuds,663,INR,995,7.40561E+12,LightSkyBlue,backorder,15,57,497.25
